종목코드,종목명,테마명,섹터,산업군,업종명,시장구분,기준일
101160,월덱스,['반도체 재료/부품'],IT,하드웨어,전기·전자,KOSDAQ,20250407
336060,웨이버스,['메타버스(Metaverse)'],IT,소프트웨어,IT 서비스,KOSDAQ,20250407
095270,웨이브일렉트로,"['방위산업/전쟁 및 테러', '통신장비', '5G(5세대 이동통신)']",의료,의료장비및서비스,의료·정밀기기,KOSDAQ,20250407
289930,웨이비스,"['방위산업/전쟁 및 테러', '통신장비', '5G(5세대 이동통신)']",IT,하드웨어,전기·전자,KOSDAQ,20250407
065950,웰크론,"['방위산업/전쟁 및 테러', 'DMZ 평화공원', '황사/미세먼지', '마스크', '메르스 코로나 바이러스']",경기소비재,내구소비재및의류,섬유·의류,KOSDAQ,20250407
076080,웰크론한텍,"['수자원(양적/질적 개선)', '2차전지', '폐배터리', '2차전지(장비)']",산업재,자본재,건설,KOSDAQ,20250407
043590,웰킵스하이텍,"['스마트폰', 'OLED(유기 발광 다이오드)', '반도체 재료/부품', '무선충전기술']",IT,하드웨어,전기·전자,KOSDAQ,20250407
196700,웹스,"['DMZ 평화공원', '4대강 복원', '자동차부품']",소재,소재,화학,KOSDAQ,20250407
069080,웹젠,"['게임', '모바일게임(스마트폰)']",IT,소프트웨어,IT 서비스,KOSDAQ,20250407
053580,웹케시,['핀테크(FinTech)'],IT,소프트웨어,IT 서비스,KOSDAQ,20250407
479960,위너스,"['스마트홈(홈네트워크)', '전력설비', '2025 상반기 신규상장', '전기차(충전소/충전기)']",IT,하드웨어,전기·전자,KOSDAQ,20250407
071460,위니아,,IT,하드웨어,전기·전자,KOSDAQ,20250407
377460,위니아에이드,,경기소비재,유통,유통,KOSDAQ,20250407
044340,위닉스,"['스마트홈(홈네트워크)', '황사/미세먼지', '공기청정기', '여름', '제습기']",IT,하드웨어,전기·전자,KOSDAQ,20250407
330350,위더스제약,"['탈모 치료', '제약업체', '마이코플라스마 폐렴']",의료,제약및바이오,제약,KOSDAQ,20250407
348350,위드텍,['반도체 장비'],의료,의료장비및서비스,의료·정밀기기,KOSDAQ,20250407
112040,위메이드,"['게임', 'NFT(대체불가토큰)', '가상화폐(비트코인 등)', '모바일게임(스마트폰)', '블록체인']",IT,소프트웨어,IT 서비스,KOSDAQ,20250407
101730,위메이드맥스,"['게임', '모바일게임(스마트폰)']",IT,소프트웨어,IT 서비스,KOSDAQ,20250407
123420,위메이드플레이,['모바일게임(스마트폰)'],IT,소프트웨어,IT 서비스,KOSDAQ,20250407
065370,위세아이텍,"['지능형로봇/인공지능(AI)', '모바일솔루션(스마트폰)', '메타버스(Metaverse)']",IT,소프트웨어,IT 서비스,KOSDAQ,20250407
038620,위즈코프,,경기소비재,유통,유통,KOSDAQ,20250407
299900,위지윅스튜디오,"['가상현실(VR)', '메타버스(Metaverse)', '영상콘텐츠', '증강현실(AR)']",경기소비재,미디어,오락·문화,KOSDAQ,20250407
036090,위지트,['가상화폐(비트코인 등)'],산업재,자본재,기계·장비,KOSDAQ,20250407
459100,위츠,"['전기차(충전소/충전기)', '무선충전기술']",IT,하드웨어,전기·전자,KOSDAQ,20250407
136540,윈스,"['보안주(정보)', '키오스크(KIOSK)']",IT,소프트웨어,IT 서비스,KOSDAQ,20250407
097800,윈팩,"['HBM(고대역폭메모리)', '시스템반도체']",IT,하드웨어,전기·전자,KOSDAQ,20250407
192390,윈하이텍,,소재,금속및광물,금속,KOSDAQ,20250407
335870,윙스풋,['패션/의류'],경기소비재,유통,유통,KOSDAQ,20250407
900340,윙입푸드,"['아프리카 돼지열병(ASF)', '지주사', '국내 상장 중국기업']",금융,기타금융,금융,KOSDAQ,20250407
036200,유니셈,"['냉각시스템(액침냉각 등)', '반도체 장비']",산업재,자본재,기계·장비,KOSDAQ,20250407
018000,유니슨,['풍력에너지'],산업재,자본재,기계·장비,KOSDAQ,20250407
203450,유니온커뮤니티,['바이오인식(생체인식)'],IT,하드웨어,전기·전자,KOSDAQ,20250407
011320,유니크,"['자동차부품', '수소차(연료전지/부품/충전소 등)']",산업재,자본재,운송장비·부품,KOSDAQ,20250407
086390,유니테스트,"['반도체 장비', '태양광에너지', '3D 낸드(NAND)']",산업재,자본재,기계·장비,KOSDAQ,20250407
241690,유니테크노,"['자동차부품', '전력저장장치(ESS)']",산업재,자본재,운송장비·부품,KOSDAQ,20250407
142210,유니트론텍,"['자율주행차', '반도체 재료/부품']",경기소비재,유통,유통,KOSDAQ,20250407
389680,유디엠텍,['지능형로봇/인공지능(AI)'],IT,소프트웨어,IT 서비스,KOSDAQ,20250407
088340,유라클,"['모바일솔루션(스마트폰)', 'STO(토큰증권 발행)']",IT,소프트웨어,IT 서비스,KOSDAQ,20250407
048430,유라테크,['자동차부품'],IT,하드웨어,전기·전자,KOSDAQ,20250407
206650,유바이오로직스,"['마이크로바이옴', '코로나19(진단/치료제/백신 개발 등)', '코로나19(진단키트)', '보톡스(보툴리눔톡신)', '백신/진단시약/방역(신종플루, AI 등)', '코로나19(치료제/백신 개발 등)']",의료,제약및바이오,제약,KOSDAQ,20250407
089850,유비벨록스,"['모바일솔루션(스마트폰)', 'RFID(NFC 등)', '마이데이터', '삼성페이', '스마트카(SMART CAR)']",IT,소프트웨어,IT 서비스,KOSDAQ,20250407
084440,유비온,['교육/온라인 교육'],IT,소프트웨어,IT 서비스,KOSDAQ,20250407
032620,유비케어,"['원격진료/비대면진료(U-Healthcare)', '고령화 사회(노인복지)', '의료기기']",IT,소프트웨어,IT 서비스,KOSDAQ,20250407
264450,유비쿼스,"['사물인터넷', '통신장비', '5G(5세대 이동통신)']",IT,하드웨어,전기·전자,KOSDAQ,20250407
078070,유비쿼스홀딩스,['지주사'],금융,기타금융,금융,KOSDAQ,20250407
024800,유성티엔에스,"['편의점', '종합 물류']",산업재,운송,운송·창고,KOSDAQ,20250407
054930,유신,"['철도', 'GTX(수도권 광역급행철도)', '우크라이나 재건', '네옴시티', '수자원(양적/질적 개선)']",산업재,상업서비스,일반서비스,KOSDAQ,20250407
069330,유아이디,"['터치패널(스마트폰/태블릿PC 등)', '스마트폰']",IT,하드웨어,전기·전자,KOSDAQ,20250407
049520,유아이엘,"['스마트폰', '휴대폰부품']",IT,하드웨어,전기·전자,KOSDAQ,20250407
435380,유안타제10호스팩,['기업인수목적회사(SPAC)'],금융,기타금융,금융,KOSDAQ,20250407
444920,유안타제11호스팩,['기업인수목적회사(SPAC)'],금융,기타금융,금융,KOSDAQ,20250407
446150,유안타제12호스팩,['기업인수목적회사(SPAC)'],금융,기타금융,금융,KOSDAQ,20250407
449020,유안타제13호스팩,['기업인수목적회사(SPAC)'],금융,기타금융,금융,KOSDAQ,20250407
450940,유안타제14호스팩,['기업인수목적회사(SPAC)'],금융,기타금융,금융,KOSDAQ,20250407
473050,유안타제15호스팩,['기업인수목적회사(SPAC)'],금융,기타금융,금융,KOSDAQ,20250407
474490,유안타제16호스팩,['기업인수목적회사(SPAC)'],금융,기타금융,금융,KOSDAQ,20250407
