종목코드,종목명,업종명,테마명,기준일,raw테마명
064400,LG씨엔에스,IT 서비스,디지털산업,20250510,스마트팩토리(스마트공장)
373220,LG에너지솔루션,전기·전자,2차전지,20250510,폐배터리
373220,LG에너지솔루션,전기·전자,기타 산업,20250510,니켈
373220,LG에너지솔루션,전기·전자,정부정책,20250510,밸류업(24년 기업가치 제고계획 발표)
373220,LG에너지솔루션,전기·전자,전기차/자율주행,20250510,전기차
373220,LG에너지솔루션,전기·전자,탄소/친환경,20250510,전력저장장치(ESS)
373220,LG에너지솔루션,전기·전자,2차전지,20250510,2차전지
373220,LG에너지솔루션,전기·전자,기타 산업,20250510,리튬
373220,LG에너지솔루션,전기·전자,2차전지,20250510,2차전지(생산)
373220,LG에너지솔루션,전기·전자,2차전지,20250510,2차전지(LFP/리튬인산철)
373220,LG에너지솔루션,전기·전자,2차전지,20250510,2차전지(전고체)
373220,LG에너지솔루션,전기·전자,2차전지,20250510,2차전지(나트륨이온)
003555,LG우,기타금융,,20250510,
032640,LG유플러스,통신,기타 바이오,20250510,양자암호/양자컴퓨팅
032640,LG유플러스,통신,IT/통신,20250510,통신
032640,LG유플러스,통신,스마트도시,20250510,UAM(도심항공모빌리티)
032640,LG유플러스,통신,디지털산업,20250510,스마트홈(홈네트워크)
032640,LG유플러스,통신,정부정책,20250510,밸류업(24년 기업가치 제고계획 발표)
032640,LG유플러스,통신,전기차/자율주행,20250510,전기차(충전소/충전기)
032640,LG유플러스,통신,IT/통신,20250510,5G(5세대 이동통신)
032640,LG유플러스,통신,디지털산업,20250510,사물인터넷
032640,LG유플러스,통신,메타버스,20250510,메타버스(Metaverse)
032640,LG유플러스,통신,디지털산업,20250510,4차산업 수혜주
011070,LG이노텍,전기·전자,자동차/부품,20250510,무선충전기술
011070,LG이노텍,전기·전자,자동차/부품,20250510,카메라모듈/부품
011070,LG이노텍,전기·전자,정부정책,20250510,코리아 밸류업 지수(Korea Value-up Index)
011070,LG이노텍,전기·전자,정부정책,20250510,밸류업(24년 기업가치 제고계획 발표)
011070,LG이노텍,전기·전자,자동차/부품,20250510,자동차부품
011070,LG이노텍,전기·전자,IT/통신,20250510,아이폰
011070,LG이노텍,전기·전자,IT/통신,20250510,스마트폰
011070,LG이노텍,전기·전자,메타버스,20250510,메타버스(Metaverse)
011070,LG이노텍,전기·전자,전기차/자율주행,20250510,자율주행차
011070,LG이노텍,전기·전자,자동차/부품,20250510,휴대폰부품
011070,LG이노텍,전기·전자,스마트도시,20250510,스마트카(SMART CAR)
066570,LG전자,전기·전자,소비재/유통,20250510,제습기
066570,LG전자,전기·전자,자동차/부품,20250510,무선충전기술
066570,LG전자,전기·전자,AI/로봇,20250510,지능형로봇/인공지능(AI)
066570,LG전자,전기·전자,환경/기후,20250510,공기청정기
066570,LG전자,전기·전자,IT/통신,20250510,IT 대표주
066570,LG전자,전기·전자,디지털산업,20250510,스마트홈(홈네트워크)
066570,LG전자,전기·전자,정부정책,20250510,밸류업(24년 기업가치 제고계획 발표)
066570,LG전자,전기·전자,IT/통신,20250510,5G(5세대 이동통신)
066570,LG전자,전기·전자,디스플레이,20250510,LED
066570,LG전자,전기·전자,디스플레이,20250510,마이크로 LED
066570,LG전자,전기·전자,전기차/자율주행,20250510,자율주행차
066570,LG전자,전기·전자,디스플레이,20250510,OLED(유기 발광 다이오드)
066570,LG전자,전기·전자,IT/통신,20250510,냉각시스템(액침냉각 등)
066570,LG전자,전기·전자,디지털산업,20250510,4차산업 수혜주
066570,LG전자,전기·전자,전기차/자율주행,20250510,전기차
066570,LG전자,전기·전자,탄소/친환경,20250510,전력저장장치(ESS)
066570,LG전자,전기·전자,메타버스,20250510,가상현실(VR)
066575,LG전자우,전기·전자,,20250510,
037560,LG헬로비전,오락·문화,전기차/자율주행,20250510,전기차(충전소/충전기)
051910,LG화학,화학,기타 산업,20250510,니켈
051910,LG화학,화학,정부정책,20250510,밸류업(24년 기업가치 제고계획 발표)
051910,LG화학,화학,의료/건강,20250510,고령화 사회(노인복지)
051910,LG화학,화학,IT/통신,20250510,아이폰
051910,LG화학,화학,바이오/제약,20250510,바이오시밀러(복제 바이오의약품)
051910,LG화학,화학,디스플레이,20250510,OLED(유기 발광 다이오드)
051910,LG화학,화학,바이오/제약,20250510,비만치료제
051910,LG화학,화학,전기차/자율주행,20250510,전기차
051910,LG화학,화학,디스플레이,20250510,폴더블폰
051910,LG화학,화학,원자력/에너지,20250510,석유화학
051910,LG화학,화학,2차전지,20250510,2차전지(소재/부품)
051910,LG화학,화학,2차전지,20250510,2차전지
051910,LG화학,화학,기타 산업,20250510,리튬
051910,LG화학,화학,탄소/친환경,20250510,탄소나노튜브(CNT)
051915,LG화학우,화학,,20250510,
079550,LIG넥스원,금속,우주/항공,20250510,우주항공산업(누리호/인공위성 등)
079550,LIG넥스원,금속,스마트도시,20250510,UAM(도심항공모빌리티)
079550,LIG넥스원,금속,우주/항공,20250510,방위산업/전쟁 및 테러
079550,LIG넥스원,금속,우주/항공,20250510,드론(Drone)
079550,LIG넥스원,금속,정부정책,20250510,코리아 밸류업 지수(Korea Value-up Index)
079550,LIG넥스원,금속,여행/레저,20250510,항공기부품
079550,LIG넥스원,금속,AI/로봇,20250510,로봇(산업용/협동로봇 등)
006260,LS,기타금융,자동차/부품,20250510,전선
006260,LS,기타금융,건설/인프라,20250510,해저터널(지하화/지하도로 등)
006260,LS,기타금융,자동차/부품,20250510,무선충전기술
006260,LS,기타금융,기타 산업,20250510,지주사
006260,LS,기타금융,탄소/친환경,20250510,전력설비
006260,LS,기타금융,탄소/친환경,20250510,풍력에너지
010120,LS ELECTRIC,전기·전자,전기차/자율주행,20250510,수소차(연료전지/부품/충전소 등)
010120,LS ELECTRIC,전기·전자,탄소/친환경,20250510,전력설비
010120,LS ELECTRIC,전기·전자,기타 산업,20250510,초전도체
010120,LS ELECTRIC,전기·전자,탄소/친환경,20250510,스마트그리드(지능형전력망)
010120,LS ELECTRIC,전기·전자,탄소/친환경,20250510,태양광에너지
010120,LS ELECTRIC,전기·전자,원자력/에너지,20250510,원자력발전
010120,LS ELECTRIC,전기·전자,전기차/자율주행,20250510,전기차
010120,LS ELECTRIC,전기·전자,탄소/친환경,20250510,전력저장장치(ESS)
010120,LS ELECTRIC,전기·전자,디지털산업,20250510,스마트팩토리(스마트공장)
000680,LS네트웍스,유통,소비재/유통,20250510,패션/의류
229640,LS에코에너지,기타금융,자동차/부품,20250510,전선
229640,LS에코에너지,기타금융,기타 산업,20250510,지주사
229640,LS에코에너지,기타금융,탄소/친환경,20250510,전력설비
229640,LS에코에너지,기타금융,소재/금속,20250510,희귀금속(희토류 등)
229640,LS에코에너지,기타금융,IT/통신,20250510,5G(5세대 이동통신)
229640,LS에코에너지,기타금융,스마트도시,20250510,네옴시티
229640,LS에코에너지,기타금융,탄소/친환경,20250510,풍력에너지
108320,LX세미콘,전기·전자,정부정책,20250510,코리아 밸류업 지수(Korea Value-up Index)
108320,LX세미콘,전기·전자,IT/통신,20250510,아이폰
108320,LX세미콘,전기·전자,디스플레이,20250510,OLED(유기 발광 다이오드)
108320,LX세미콘,전기·전자,반도체,20250510,시스템반도체
001120,LX인터내셔널,유통,기타 산업,20250510,니켈
001120,LX인터내셔널,유통,기타 산업,20250510,종합상사
001120,LX인터내셔널,유통,기타 산업,20250510,자원개발
108670,LX하우시스,화학,자동차/부품,20250510,자동차부품
108670,LX하우시스,화학,기타 산업,20250510,리모델링/인테리어
108675,LX하우시스우,화학,,20250510,
383800,LX홀딩스,기타금융,기타 산업,20250510,지주사
38380K,LX홀딩스1우,기타금융,,20250510,
023150,MH에탄올,음식료·담배,소비재/유통,20250510,"주류업(주정, 에탄올 등)"
035420,NAVER,IT 서비스,AI/로봇,20250510,AI 챗봇(챗GPT 등)
035420,NAVER,IT 서비스,게임/엔터,20250510,게임
035420,NAVER,IT 서비스,블록체인/가상화폐,20250510,NFT(대체불가토큰)
035420,NAVER,IT 서비스,게임/엔터,20250510,모바일게임(스마트폰)
035420,NAVER,IT 서비스,IT/통신,20250510,모바일콘텐츠(스마트폰/태블릿PC)
